鄉鎮市區,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_車位,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,年份(+1911),月份,建築完成年,建築完成月,成交時屋齡, 總價.元. ,單價.元.坪,土地移轉總面積.坪,建物移轉總面積.坪,車位移轉總面積.坪,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
中山區,2,1,0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1983,8,29,21800000,606330.5785,5.094077077,35.9549882,0,304108,2773090,121.53632,25.06497
中山區,1,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,0,4,有,無,NA,2012,9,1982,12,30,11150000,465619.8347,6.049972775,23.94579224,0,303344,2772620,121.52873,25.06075
內湖區,1,1,1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,2007,10,5,15000000,423752.0661,5.883598524,35.39536572,10.01270494,312248,2773288,121.61701,25.06644
內湖區,1,1,1,五層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,2,1,1,有,有,NA,2012,9,2005,11,7,9400000,333957.0248,2.761812572,28.14749834,0,312358,2773955,121.61813,25.07246
大同區,2,1,0,十一層,12,辦公商業大樓,商業用,鋼筋混凝土造,6,1,2,有,無,NA,2012,9,1990,1,22,45200000,417100.8264,18.7549156,108.3671123,0,301886,2773563,121.51431,25.06931
萬華區,1,1,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,9,1971,10,41,2880000,335590.0826,3.103636034,8.581886382,0,299572,2768839,121.4912,25.02674
中正區,2,1,3,三層，四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,4,有,有,NA,2012,9,2012,6,0,89790000,760512.3967,24.00629197,146.5333656,41.88093654,303201,2770566,121.52723,25.04221
文山區,1,1,1,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,2012,8,0,12400000,288611.5702,7.843789703,42.96388166,11.93962127,308619,2764198,121.58065,24.98452
文山區,1,1,2,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,10,2012,8,0,36210000,243246.281,30.71873677,148.8626051,27.55157602,308631,2764186,121.58077,24.98441
文山區,1,1,1,十層,13,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,10,2012,8,0,19910000,271140.4959,15.11888197,73.43154456,13.77578801,308644,2764173,121.5809,24.98429
文山區,1,1,0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,2012,8,0,10920000,338277.686,7.934539295,32.27962974,0,308639,2764178,121.58085,24.98434
文山區,1,1,1,六層,13,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,10,2012,8,0,15450000,254181.8182,12.03339585,60.78407647,13.77578801,308614,2764203,121.5806,24.98457
文山區,1,1,2,七層,13,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,10,2012,8,0,19030000,336727.2727,12.47201888,74.56288947,27.55157602,308614,2764203,121.5806,24.98457
文山區,1,1,1,三層,13,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,10,2012,8,0,15550000,298882.6446,12.03339585,60.78407647,13.77578801,308637,2764181,121.58083,24.98437
文山區,1,1,1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,2012,8,0,9540000,212938.843,8.064613709,44.8000484,13.77578801,308643,2764175,121.58089,24.98431
文山區,1,1,1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,2012,8,0,9270000,215761.9835,7.843789703,42.96388166,11.93962127,308639,2764179,121.58085,24.98435
文山區,1,1,0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,10,1995,10,17,8750000,409851.2397,5.756549096,21.35035392,0,307676,2764450,121.57132,24.98683
文山區,1,1,0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,10,1995,10,17,8750000,405315.7025,5.756549096,21.58932785,0,307677,2764448,121.57133,24.98681
文山區,1,1,0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,0,1,有,無,NA,2012,9,NA,NA,NA,10300000,400489.2562,12.93181681,25.71843427,0,306084,2766367,121.55563,25.0042
文山區,1,1,1,七層,10,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,3,2,2,有,有,NA,2012,9,2004,5,8,14600000,317927.2727,18.05009377,45.92231835,0,307825,2766077,121.57286,25.00152
中正區,2,2,0,三層，陽台,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,1976,12,36,22000000,643150.4132,11.75207212,34.20654607,0,302198,2768748,121.51722,25.02583
文山區,2,1,0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,3,2,1,有,無,NA,2012,9,NA,NA,NA,12000000,459563.6364,8.469961885,26.1116825,0,307520,2764225,121.56977,24.98481
文山區,3,1,0,三層,12,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,2,2,1,有,無,NA,2012,9,1983,7,29,6780000,300304.1322,9.67995644,22.57547341,0,307725,2766136,121.57188,25.00205
文山區,2,1,1,一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,9,1998,8,14,20000000,404333.8843,22.73579769,49.46457741,13.26154032,307643,2764985,121.57102,24.99166
文山區,1,1,1,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,0,1,有,有,NA,2012,10,2007,10,5,5750000,267051.2397,8.751285619,21.53185311,3.330510013,309292,2764426,121.58733,24.98655
大同區,1,1,0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,2,2,有,無,NA,2012,9,1976,12,36,9500000,332961.9835,10.05807974,28.53167161,0,301997,2773592,121.51541,25.06957
中正區,1,1,1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,8,1996,8,16,12600000,650128.9256,4.19565612,19.38108779,0,303399,2769730,121.52916,25.03466
大同區,1,1,0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,9,2008,6,4,8400000,668343.8017,1.058745236,12.56881844,0,302144,2772798,121.51684,25.0624
內湖區,1,1,0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,10,1998,5,14,16100000,453801.6529,13.50051425,35.47704035,0,308199,2772089,121.57682,25.05578
中山區,2,1,0,六層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1,1,1,有,無,NA,2012,9,NA,NA,NA,4000000,356419.8347,2.132615403,11.2226995,0,303122,2771364,121.52648,25.04942
中山區,1,1,0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1975,6,37,21000000,566429.7521,13.6880634,37.07423317,0,304083,2772483,121.53604,25.05949
內湖區,2,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,9,NA,NA,NA,10000000,441064.4628,7.18434267,22.67227297,0,307259,2775382,121.56764,25.08554
中山區,1,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1978,4,34,14400000,505342.1488,7.985964063,28.49537177,0,304471,2773239,121.53992,25.0663
萬華區,1,1,0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,10,1977,8,35,5100000,240198.3471,7.41121665,21.23237945,0,300384,2767976,121.49922,25.01893
松山區,1,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,9,1981,9,31,31280000,720885.9504,9.117308972,43.39040474,0,306236,2772535,121.55739,25.05988
信義區,1,1,0,一層，平台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,1,1,有,無,NA,2012,10,NA,NA,NA,23680000,818241.3223,10.1337044,28.94004477,0,306425,2768197,121.55908,25.02071
信義區,1,1,0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0,1,1,有,有,NA,2012,9,1997,1,15,8000000,376846.281,10.01572993,21.22935447,0,308173,2767663,121.57638,25.01582
信義區,3,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,9,NA,NA,NA,14300000,597785.124,8.206788069,23.92159235,0,308682,2770630,121.58155,25.04259
內湖區,1,1,0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1998,9,14,19800000,430006.6116,11.72182225,46.04634279,0,311112,2773895,121.60577,25.07197
內湖區,1,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,9,1984,10,28,8400000,349421.4876,7.417266622,24.03956682,0,312611,2773825,121.62063,25.07127
內湖區,2,1,0,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,10,1998,9,14,6060000,435414.876,1.84221671,13.91796237,0,309487,2773960,121.58967,25.07262
南港區,3,1,1,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,8,2012,3,NA,17550000,522654.5455,6.358521387,39.35204792,9.50450723,309448,2770997,121.58915,25.04587
南港區,3,1,1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,5,2012,3,NA,16690000,501933.8843,6.358521387,38.10877851,8.264262811,309453,2770992,121.5892,25.04582
南港區,3,1,1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,5,2012,3,NA,17130000,497100.8264,6.64892008,40.32306855,9.50450723,309430,2771015,121.58898,25.04603
南港區,3,1,0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,10,2012,3,NA,16010000,536419.8347,6.131647408,29.8445157,0,309437,2771008,121.58905,25.04597
南港區,3,1,1,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,5,2012,3,NA,16440000,487140.4959,6.358521387,39.35204792,9.50450723,309448,2770997,121.58915,25.04587
南港區,1,1,0,二層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,9,NA,NA,NA,8600000,542968.595,5.293726178,15.83882873,0,309099,2770868,121.58569,25.04472
松山區,1,1,0,一層，平台,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,9,1976,6,36,17000000,802833.0579,4.020206909,21.17490471,0,307218,2771483,121.56707,25.05034
南港區,1,1,2,十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,3,有,有,NA,2012,9,2012,7,0,72680000,736813.2231,16.51642568,104.7280537,12.60209329,312273,2772629,121.61722,25.06049
南港區,3,1,1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,5,2012,3,NA,16910000,489963.6364,6.64892008,40.32306855,9.50450723,309453,2770993,121.5892,25.04583
南港區,3,1,1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,5,2012,3,NA,16890000,506905.7851,6.358521387,39.35204792,9.50450723,309446,2770999,121.58913,25.04589
南港區,1,1,2,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,3,有,有,NA,2012,10,2012,7,0,67700000,677352.0661,16.57087543,105.2513764,13.12844092,312277,2772625,121.61726,25.06045
南港區,1,1,2,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,10,2012,7,0,60180000,670185.124,14.92830782,95.23564644,12.60209329,312259,2772642,121.61709,25.06061
南港區,1,1,2,七層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,2012,7,0,58610000,650016.5289,15.03720733,96.06449271,13.12844092,312278,2772623,121.61727,25.06043
南港區,1,1,2,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,3,有,有,NA,2012,9,2012,7,0,70500000,706661.157,16.62532519,105.777724,13.65478855,312274,2772627,121.61723,25.06047
南港區,1,1,2,十五層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,2012,7,0,62680000,695596.6942,14.92830782,95.23564644,12.60209329,312270,2772631,121.61719,25.06051
南港區,3,1,0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2010,8,2012,3,NA,10500000,493818.1818,4.313630589,21.26262932,0,309428,2771017,121.58896,25.04605
信義區,1,1,0,一層,7,店面(店鋪),見使用執照,鋼筋混凝土造,0,0,0,無,無,NA,2012,9,1980,1,32,27000000,906142.1488,3.39100974,29.79611592,0,306407,2769900,121.55897,25.03608
南港區,3,1,0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,4,2012,3,NA,14390000,482138.843,6.131647408,29.8445157,0,309425,2771020,121.58893,25.04608
南港區,3,1,0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,8,2012,3,NA,15590000,527315.7025,6.131647408,29.56319197,0,309422,2771023,121.5889,25.04611
南港區,3,1,0,十層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,12,2012,3,NA,16280000,545464.4628,6.131647408,29.8445157,0,309426,2771019,121.58894,25.04607
南港區,3,1,1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,11,2012,3,NA,19000000,554482.6446,6.358521387,39.35204792,9.50450723,309443,2771002,121.5891,25.04591
南港區,3,1,1,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,1,2,有,無,NA,2010,12,2012,3,NA,19730000,573914.0496,6.358521387,39.35204792,9.50450723,309444,2771001,121.58911,25.04591
松山區,1,2,0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,0,1,有,有,NA,2012,9,1990,11,22,7050000,601123.9669,2.362514369,11.72787222,0,306476,2771036,121.5597,25.04634
南港區,1,1,2,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,2012,7,0,63930000,700026.4463,15.20358158,97.26541231,13.65478855,312264,2772637,121.61713,25.06056
南港區,1,1,2,四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,32,有,有,NA,2012,9,2012,7,0,65990000,661871.0744,16.59810031,105.4268256,13.12844092,312271,2772630,121.6172,25.0605
南港區,1,1,2,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,3,有,有,NA,2012,9,2012,7,0,72280000,731411.5702,16.57087543,105.2513764,13.12844092,312251,2772650,121.61701,25.06068
北投區,2,1,0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,3,2,3,有,無,NA,2012,9,1969,5,43,7450000,319553.719,8.243087906,23.31357009,0,301182,2781430,121.50763,25.14036
士林區,1,1,0,一層，騎樓,3,公寓(5樓含以下無電梯),住商用,加強磚造,0,0,0,無,無,NA,2012,9,1972,4,40,37886000,1169401.653,17.18192268,32.39760421,0,302474,2777291,121.52028,25.10295
士林區,1,1,0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,2,2,2,有,有,NA,2012,10,2011,5,1,12700000,455285.9504,5.801923891,27.89339948,0,301077,2776141,121.50639,25.09262
士林區,1,1,0,四層,12,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,3,2,2,有,有,NA,2012,10,1983,10,29,11000000,321639.6694,6.452295965,34.2004961,0,301173,2775342,121.50731,25.0854
北投區,1,1,0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,10,1979,11,33,8020000,268968.595,12.23606994,29.81729082,0,299383,2781694,121.48979,25.1428
北投區,0,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,10,1974,11,38,9000000,323147.1074,9.377457801,27.85104967,0,301570,2778530,121.51136,25.11417
士林區,2,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,4,2,2,有,無,NA,2012,8,1977,8,35,22100000,540889.2562,8.073688668,40.85849114,0,303792,2779650,121.53344,25.1242
北投區,1,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2012,10,1977,4,35,9660000,493874.3802,7.108718011,19.55956198,0,301016,2778921,121.50589,25.11771
北投區,1,1,0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1,0,1,有,有,NA,2012,9,2000,6,12,5950000,392561.9835,3.502934237,15.15820679,0,301344,2781472,121.50923,25.14073
大安區,1,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1,0,1,有,無,NA,2012,9,1991,5,21,9000000,797361.9835,2.885837014,11.28622421,0,303677,2768854,121.53188,25.02674
大安區,1,1,1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,2,1,1,有,有,NA,2012,9,2002,7,10,22000000,563279.3388,5.862423619,39.05559925,12.58696836,306483,2767775,121.55964,25.0169
士林區,1,1,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,5,3,2,有,無,NA,2012,7,1979,12,33,27500000,715933.8843,11.8881965,38.41127715,0,303247,2778145,121.52798,25.11063
北投區,1,1,0,地下二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,9,1978,7,34,6800000,210915.7025,9.946155242,32.24030492,0,300962,2781417,121.50544,25.14025
士林區,1,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,9,1984,12,28,10100000,409071.0744,7.504991228,24.6899389,0,302336,2775257,121.51884,25.08459
北投區,1,1,1,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2012,9,1994,6,18,8140000,255256.1983,12.47201888,31.8894065,0,301185,2781644,121.50766,25.14229
北投區,1,1,1,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2012,9,1994,6,18,8140000,249851.2397,12.47201888,32.57910339,0,301199,2781630,121.5078,25.14216
士林區,1,1,0,六層，電梯樓梯間,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1997,5,15,19000000,530304.1322,9.10218404,35.82793877,0,302622,2776207,121.52171,25.09316
北投區,1,1,0,六層,7,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,1,1,1,有,無,NA,2012,9,2012,3,0,13450000,605352.0661,3.212535544,22.21852502,0,302260,2778076,121.51819,25.11004
文山區,2,1,0,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,9,1996,9,16,7500000,372333.8843,12.13019541,20.14338435,0,306676,2765097,121.56144,24.99271
大安區,0,0,1,地下三層,7,其他,見其他登記事項,鋼筋混凝土造,0,0,0,有,無,NA,2012,10,2009,5,3,2300000,NA,0.553572509,3.986932059,0,303267,2768404,121.5278,25.02269
中山區,1,1,0,一層，騎樓,4,店面(店鋪),住家用,鋼筋混凝土造,0,1,1,有,無,NA,2012,10,1971,3,41,28000000,1259689.256,8.243087906,22.22759998,0,303391,2773077,121.52921,25.06487
中山區,1,1,0,三層,4,公寓(5樓含以下無電梯),NA,加強磚造,3,2,2,有,無,NA,2012,7,NA,NA,NA,21000000,583520.6612,12.78056749,35.98826305,0,303987,2771860,121.53507,25.05387
中山區,3,1,0,十二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,2,2,1,有,有,NA,2012,9,2006,2,6,9860000,779824.7934,1.760542078,12.6444431,0,303316,2772988,121.52846,25.06407
內湖區,2,1,0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,無,NA,2012,9,1997,1,15,6700000,525067.7686,5.889648497,12.75939258,0,310619,2775511,121.60096,25.08657
中山區,1,1,0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,1,有,有,NA,2012,9,1992,6,20,11100000,573044.6281,5.898723456,19.36898784,0,305529,2774523,121.55046,25.07785
內湖區,1,2,1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,1994,5,18,23200000,473745.4545,7.77119003,48.97150463,0,311440,2773640,121.60901,25.06965
松山區,1,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,NA,NA,NA,14000000,492456.1983,7.985964063,28.42882207,0,307306,2772560,121.56799,25.06006
信義區,1,1,1,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,2,1,有,無,NA,2012,8,2010,9,2,27080000,677745.4545,6.107447516,39.95704519,0,307329,2770704,121.56814,25.04331
信義區,2,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1983,2,29,19800000,580426.4463,7.048218283,34.11277149,0,306917,2768943,121.56399,25.02742
士林區,1,1,1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,2,2,1,有,有,NA,2012,9,2011,5,1,13250000,341044.6281,5.88662351,38.85292516,10.9565007,301078,2776140,121.5064,25.09261
士林區,1,0,0,0,NA,其他,NA,NA,0,0,0,有,無,NA,2012,9,NA,NA,NA,19969000,189996.6942,105.100127,0,0,298921,2777579,121.48506,25.10567
北投區,8,1,0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,0,1,有,無,NA,2012,10,1984,4,28,2000000,203788.4298,1.748442132,9.813055841,0,301621,2781212,121.51197,25.13838
士林區,1,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,8,1978,2,34,13140000,467679.3388,7.429366568,28.09607357,0,304011,2778343,121.53556,25.11239
北投區,0,0,1,一層,14,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0,0,0,有,無,NA,2012,9,2010,9,2,1100000,NA,0.369048339,1.028495372,0,300134,2780793,121.49721,25.13464
士林區,1,1,0,八層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,0,1,有,有,NA,2012,9,1996,9,16,3450000,423249.5868,2.283864723,8.152338314,0,302809,2775649,121.52354,25.08811
大安區,1,1,0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,5,2,2,有,有,NA,2012,9,NA,NA,NA,46000000,781051.2397,6.97561861,58.89345998,0,304893,2768325,121.54391,25.02192
大安區,1,1,0,三層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,9,2009,2,3,9600000,893497.5207,2.341339464,10.74475165,0,302885,2768980,121.52404,25.0279
大安區,1,1,0,三層,7,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,3,2,1,有,有,NA,2012,9,1983,10,29,24880000,692479.3388,11.78534697,35.92776333,0,304989,2768766,121.54488,25.0259
大安區,1,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,9,1982,4,30,21000000,588803.3058,10.51787767,35.66458951,0,305877,2769106,121.55369,25.02893
大安區,1,1,0,二層，陽台,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,9,1971,12,41,17000000,733563.6364,7.713715288,23.17442072,0,303791,2768244,121.53299,25.02123
信義區,2,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1979,6,33,18000000,623603.3058,8.660536028,28.86442011,0,306169,2768618,121.55656,25.02452
信義區,2,2,1,十三層,16,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0,1,1,有,有,NA,2012,7,1992,1,20,249880000,598502.4793,32.73035271,417.5055962,0,307020,2770640,121.56508,25.04274
中山區,1,1,0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,9,1979,8,33,15600000,474208.2645,6.21332204,32.89672696,0,303886,2772969,121.53411,25.06388
內湖區,1,1,0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,1,有,有,NA,2012,8,1996,5,16,7000000,331679.3388,5.810998851,21.10533003,0,312617,2774410,121.62071,25.07655
大同區,2,1,0,全,2,透天厝,住家用,磚造,0,0,0,無,無,NA,2012,10,NA,NA,NA,2000000,598737.1901,1.929941315,3.339584972,0,302401,2772037,121.51936,25.05552
中正區,1,1,0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,4,3,3,有,無,NA,2012,9,1978,9,34,29050000,880228.0992,7.123842943,33.00260149,0,303162,2770415,121.52684,25.04085
中正區,2,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,9,1977,4,35,8520000,446076.0331,5.481275334,19.09976405,0,302192,2768394,121.51715,25.02264
中正區,1,1,0,七層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,9,1974,9,38,6800000,555980.1653,2.565188457,12.23001996,0,301181,2769654,121.50718,25.03405
大安區,2,1,0,一層，平台,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0,0,1,有,有,NA,2012,8,1976,7,36,60000000,1343814.876,9.159658782,44.64879908,0,305672,2769740,121.55168,25.03467
大安區,1,1,1,五層,8,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,4,2,2,有,有,NA,2012,9,2005,4,7,55600000,848039.6694,12.98929155,65.56355496,0,305052,2770391,121.54557,25.04057
大安區,1,1,1,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,1,1,有,有,NA,2012,9,1993,8,19,22380000,866056.1983,5.611349749,25.83943372,7.692540384,304613,2769230,121.54117,25.0301
北投區,2,1,2,十一層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,3,2,3,有,無,NA,2009,10,2012,8,NA,43190000,420211.5702,10.47250287,102.7799625,27.52132615,297275,2779204,121.4688,25.12039
北投區,1,1,0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,8,1985,10,27,9400000,292109.0909,8.345937443,32.17980519,0,300049,2781685,121.4964,25.1427
北投區,2,1,3,四層,27,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,3,2,3,有,無,NA,2009,10,2012,8,NA,39730000,386548.7603,10.47250287,102.7799625,27.52435114,297284,2779195,121.46889,25.12031
