鄉鎮市區,交易筆棟數_土地,交易筆棟數_建物,交易筆棟數_車位,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,年份(+1911),月份,建築完成年,建築完成月,成交時屋齡, 總價.元. ,單價.元.坪,土地移轉總面積.坪,建物移轉總面積.坪,車位移轉總面積.坪,交易標的橫坐標,交易標的縱坐標,Longitude,Latitude
內湖區,1,1,0,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,8,1998,8,14,10850000,570753.719,4.552604513,19.00901446,0,310935,2774080,121.60403,25.07364
中山區,1,1,0,八層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,2000,10,12,6500000,598631.405,1.582067881,10.85667614,0,303306,2771509,121.52831,25.05072
信義區,1,2,1,五層,17,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0,0,0,無,有,NA,2012,7,1993,5,19,18680000,496115.7025,2.368564341,37.65200557,10.29705366,308351,2770384,121.57826,25.04038
信義區,6,1,0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,6,1974,5,38,13500000,542062.8099,8.246112892,24.90471293,0,308419,2769823,121.57891,25.03531
中山區,1,1,1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1998,5,14,19900000,402244.6281,10.14882933,49.47365237,3.569483937,304313,2775185,121.53843,25.08387
內湖區,1,2,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,1,1,有,無,NA,2012,7,1987,4,25,11800000,378806.6116,10.98977555,31.15130982,0,310530,2775866,121.60009,25.08978
內湖區,1,1,0,七層，電梯樓梯間,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,7,1997,12,15,12580000,452092.562,8.010163954,27.82684978,0,312164,2773440,121.61618,25.06782
中山區,1,1,0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,1977,12,35,18700000,561930.5785,5.741424164,33.27787525,0,304356,2772649,121.53876,25.06098
萬華區,2,1,0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,無,無,NA,2012,7,NA,NA,NA,2000000,235705.7851,3.13993587,8.485086817,0,300878,2769144,121.50416,25.02945
文山區,1,1,2,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,2,有,有,NA,2012,6,2010,5,2,24800000,405761.9835,6.273821768,61.11984996,12.28446972,307554,2764612,121.57012,24.9883
文山區,1,2,1,四層,5,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,7,1992,7,20,13500000,378300.8264,8.85111017,35.68576441,10.75080162,306474,2763764,121.55939,24.98068
中正區,1,1,0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,有,有,NA,2012,7,2007,1,5,11800000,769973.5537,4.331780507,15.32458104,0,302097,2769295,121.51624,25.03078
文山區,4,1,1,五層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,有,NA,2012,7,1997,5,15,23520000,471636.3636,13.37346482,49.86992559,10.98372557,307042,2764103,121.56503,24.98372
文山區,2,1,0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,1,有,無,NA,2012,7,1981,6,31,11560000,394416.5289,8.748260633,29.30909311,0,306560,2764031,121.56025,24.98309
大安區,1,1,1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,3,3,有,無,NA,2012,7,1982,9,30,6150000,178181.8182,4.818803315,34.51509468,9.425857584,305026,2770745,121.54532,25.04376
士林區,3,2,0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,4,2,2,有,無,NA,2012,7,1985,6,27,42000000,606241.3223,15.00695747,69.27823825,0,303335,2778670,121.52887,25.11537
士林區,1,1,0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1,0,1,有,無,NA,2012,7,1996,9,16,4760000,559461.157,2.283864723,8.509286708,0,302808,2775650,121.52353,25.08812
松山區,1,1,0,四層，陽台,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,6,1974,3,38,21300000,595560.3306,12.55369351,35.76441406,0,307257,2771515,121.56746,25.05063
中山區,2,1,0,十層,11,辦公商業大樓,商業用,鋼筋混凝土造,0,1,0,有,有,NA,2012,7,1975,2,37,8880000,509385.124,2.649888076,17.43299655,0,303743,2771194,121.53262,25.04786
文山區,1,1,0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,有,NA,2012,6,2009,3,3,11880000,474902.4793,5.829148769,25.01663743,0,305121,2764249,121.546,24.98511
大同區,1,1,0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1,2,1,有,無,NA,2012,7,1973,1,39,6500000,419190.0826,5.520600157,15.50608022,0,301950,2774189,121.51497,25.07496
北投區,1,1,2,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,2011,9,1,33500000,396042.9752,13.70016335,84.58466937,0,297230,2779199,121.46835,25.12035
北投區,1,1,3,十層，十一層，屋頂突出物,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,3,有,無,NA,2012,7,2011,9,1,47000000,357262.8099,20.91778087,131.553633,0,297250,2779179,121.46855,25.12017
信義區,0,0,1,地下二層,7,其他,停車空間,鋼筋混凝土造,0,0,0,有,無,NA,2012,7,1991,7,21,990000,NA,0.015124932,4.259180834,0,306249,2768710,121.55736,25.02535
南港區,1,1,0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,NA,NA,NA,12900000,327404.9587,9.767681045,39.4004477,0,312320,2769894,121.61757,25.0358
大安區,1,1,0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,1993,11,19,8000000,629590.0826,4.277330752,12.70796781,0,306144,2769105,121.55633,25.02892
大安區,1,1,0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,3,2,2,有,無,NA,2012,7,NA,NA,NA,21500000,527024.7934,12.23304495,40.79496642,0,305823,2768360,121.55312,25.0222
大安區,1,1,0,四層,11,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,NA,NA,NA,11780000,867580.1653,1.566942949,13.57916389,0,305864,2770489,121.55362,25.04142
北投區,1,1,0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,2,2,1,有,無,NA,2012,7,1997,7,15,8800000,384300.8264,11.76114707,22.89914695,0,296957,2779324,121.46565,25.12148
中正區,1,0,0,0,NA,其他,NA,NA,0,0,0,有,無,NA,2012,7,NA,NA,NA,2074200,2285619.835,0.907495916,0,0,301115,2769543,121.50652,25.03305
信義區,1,1,0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1,1,1,有,無,NA,2012,7,1991,1,21,10500000,612948.7603,2.70433783,17.13049791,0,305889,2768582,121.55379,25.0242
北投區,1,1,1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,3,2,3,有,有,NA,2012,7,2000,6,12,16880000,329484.2975,10.1548793,51.23116946,12.45991893,301372,2781444,121.50951,25.14048
